Date,Dollar_Index,Gold_Price,Interest_Rate,US_10_Year,VIX_Value,BTC_Price,ETH_Price,SOL_Price,XRP_Price
2020-04-10,99.5199966430664,1662.5,0.05,0.729,41.67,6865.4931640625,158.41244506835938,0.9510539770126344,6865.4931640625
2020-04-11,99.5199966430664,1662.5,0.05,0.729,41.67,6859.0830078125,158.2160186767578,0.7768189907073975,6859.0830078125
2020-04-12,99.5199966430664,1662.5,0.05,0.729,41.67,6971.091796875,161.14242553710938,0.8825070261955261,6971.091796875
2020-04-13,99.3499984741211,1662.5,0.05,0.77,41.17,6845.03759765625,156.27955627441406,0.7778319716453552,6845.03759765625
2020-04-14,98.88999938964844,1715.85,0.05,0.75,37.76,6842.427734375,157.5963897705078,0.6619250178337097,6842.427734375
2020-04-15,99.45999908447266,1712.25,0.05,0.635,40.84,6642.10986328125,153.28689575195312,0.646651029586792,6642.10986328125
2020-04-16,100.02999877929688,1717.85,0.05,0.617,40.11,7116.80419921875,172.15737915039062,0.6908159852027893,7116.80419921875
2020-04-17,99.77999877929688,1693.15,0.05,0.642,38.15,7096.1845703125,171.63858032226562,0.6607279777526855,7096.1845703125
2020-04-18,99.77999877929688,1693.15,0.05,0.642,38.15,7257.6650390625,186.91400146484372,0.6810960173606873,7257.6650390625
2020-04-19,99.77999877929688,1693.15,0.05,0.642,38.15,7189.4248046875,181.61495971679688,0.6069689989089966,7189.4248046875
2020-04-20,99.95999908447266,1684.95,0.05,0.616,43.83,6881.95849609375,172.2971649169922,0.538811981678009,6881.95849609375
2020-04-21,100.26000213623048,1678.6,0.05,0.566,45.41,6880.3232421875,172.73770141601562,0.5876590013504028,6880.3232421875
2020-04-22,100.38999938964844,1702.65,0.05,0.618,41.98,7117.20751953125,182.59957885742188,0.6916009783744812,7117.20751953125
2020-04-23,100.43000030517578,1727.55,0.04,0.603,41.38,7429.724609375,185.02867126464844,0.6274570226669312,7429.724609375
2020-04-24,100.37999725341795,1727.25,0.05,0.605,35.93,7550.90087890625,189.2369384765625,0.6342419981956482,7550.90087890625
2020-04-25,100.37999725341795,1727.25,0.05,0.605,35.93,7569.93603515625,195.5153045654297,0.6433290243148804,7569.93603515625
2020-04-26,100.37999725341795,1727.25,0.05,0.605,35.93,7679.8671875,197.31753540039065,0.6355059742927551,7679.8671875
2020-04-27,100.04000091552734,1717.25,0.04,0.664,33.29,7795.60107421875,197.22471618652344,0.5723720192909241,7795.60107421875
2020-04-28,99.87000274658205,1708.1,0.04,0.616,33.57,7807.05859375,198.41539001464844,0.6612930297851562,7807.05859375
2020-04-29,99.56999969482422,1706.0,0.04,0.628,31.23,8801.0380859375,216.96823120117188,0.7458400130271912,8801.0380859375
2020-04-30,99.0199966430664,1716.75,0.05,0.646,34.15,8658.5537109375,207.60205078125,0.6910449862480164,8658.5537109375
2020-05-01,98.8000030517578,1673.05,0.05,0.618,37.19,8864.7666015625,214.21910095214844,0.7287939786911011,8864.7666015625
2020-05-02,98.8000030517578,1673.05,0.05,0.618,37.19,8988.5966796875,215.32537841796875,0.7158759832382202,8988.5966796875
2020-05-03,98.8000030517578,1673.05,0.05,0.618,37.19,8897.46875,210.9331512451172,0.6795349717140198,8897.46875
