Date,LTC_Price,LTC_Volume,ETH_Price,ETH_Volume,BTC_Price,BTC_Volume,Gold_Price,Interest_Rate,VIX_Close
2019-08-28,0.10265153140286151,0.15454495040842942,0.01346045823441661,0.05600614397073424,0.070231,0.035507,0.079985,0.393195,0.109768
2019-08-29,0.09329202202638545,0.16625452550396894,0.012530276981278825,0.061260491464376565,0.066646,0.033893,0.071482,0.393195,0.089108
2019-08-30,0.09395281294657057,0.1262586152173251,0.012385244079927245,0.04484025202756156,0.067937,0.02391,0.064474,0.395085,0.104568
2019-08-31,0.0946365229594667,0.12099239846950019,0.013158387224335478,0.04549184414380904,0.068414,0.017717,0.064474,0.395085,0.104568
2019-09-01,0.09904885604300587,0.11790434983780465,0.012979643025596763,0.04214950954063275,0.070283,0.01769,0.064474,0.395085,0.104568
2019-09-02,0.10129973412940413,0.1275203439935385,0.014408538573439638,0.05366204284133924,0.078928,0.034478,0.092226,0.395085,0.104568
2019-09-03,0.1074437033824541,0.15083357495367905,0.014653562941162667,0.059235764048029785,0.082991,0.04066,0.089329,0.395085,0.114125
2019-09-04,0.10225797967886585,0.14412379195651642,0.013907747140934627,0.04680138976966164,0.082565,0.033016,0.09344,0.395085,0.081377
2019-09-05,0.09694165148254422,0.12634889994184642,0.01353004559624173,0.042570339618028155,0.082286,0.026676,0.061017,0.395085,0.066479
2019-09-06,0.09647088730950898,0.1384406193608685,0.012623744936747398,0.05723194753079662,0.079024,0.041099,0.051579,0.393195,0.04863
2019-09-07,0.1071890181836766,0.14786078022208232,0.014390516157497524,0.0571581557707542,0.081431,0.028863,0.051579,0.393195,0.04863
2019-09-08,0.11143817076068527,0.14860868280211625,0.0150483749084824,0.05328862790927266,0.080315,0.024128,0.051579,0.393195,0.04863
2019-09-09,0.11043363636948417,0.1417351611600211,0.015004544055376285,0.0625149609723267,0.078755,0.035485,0.047561,0.395085,0.052424
2019-09-10,0.11220894328212877,0.15514212110166695,0.0147147865778153,0.05108962713486445,0.075539,0.027704,0.036629,0.395085,0.051441
2019-09-11,0.1096739156577281,0.1369905121348549,0.014488969243685906,0.06159507303454821,0.076455,0.029212,0.04046,0.395085,0.043148
2019-09-12,0.10771321732005493,0.12284454939214895,0.014976178142296123,0.04559370211596106,0.079858,0.02891,0.044478,0.395085,0.037667
2019-09-13,0.10704811297511804,0.125781070209119,0.014996092700952864,0.04700673538511324,0.07913,0.025399,0.037002,0.396975,0.030921
